id,pe,obstime,name,wfo,lat,lon,prod_id,1in,2in,4in,6in,8in,12in,20in,24in,40in,50in,60in,Date Range,Shallowest,ShallowestDepth
NEM065,TB,2023-11-02 15:00:00,WOOD RIVER MESO,GID,40.76,-98.54,KKRFMESO,0,0,37,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,37,4
NEM066,TB,2023-11-02 15:00:00,YORK MESO,GID,40.87,-97.63,KKRFMESO,0,0,35,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,35,4
NEM067,TB,2023-11-02 15:00:00,ARTHUR MESO,LBF,41.45,-101.71,KKRFMESO,0,0,33,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,33,4
NEM068,TB,2023-11-02 15:00:00,NORTH PLATTE MESO,LBF,41.09,-100.77,KKRFMESO,0,0,36,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,36,4
NEM069,TB,2023-11-02 15:00:00,LEIGH MESO,OAX,41.71,-97.26,KKRFMESO,0,0,36,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,36,4
NEM070,TB,2023-11-02 15:00:00,DECATUR MESO,OAX,41.91,-96.26,KKRFMESO,0,0,36,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,36,4
NEM071,TB,2023-11-02 15:00:00,OSHKOSH MESO,LBF,41.49,-102.35,KKRFMESO,0,0,33,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,33,4
NEM072,TB,2023-11-02 15:00:00,BROADWATER MESO,CYS,41.69,-102.86,KKRFMESO,0,0,35,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,35,4
NEM074,TB,2023-11-02 15:00:00,PLATTSMOUTH MESO,OAX,40.98,-95.88,KKRFMESO,0,0,38,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,38,4
NEM075,TB,2023-11-02 15:00:00,MEMPHIS MESO,OAX,41.15,-96.44,KKRFMESO,0,0,35,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,35,4
NEM076,TB,2023-11-02 15:00:00,WINSLOW MESO,OAX,41.63,-96.38,KKRFMESO,0,0,39,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,39,4
NEM077,TB,2023-11-02 15:00:00,RULO MESO,OAX,40.02,-95.5,KKRFMESO,0,0,40,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,40,4
NEM078,TB,2023-11-02 15:00:00,INDIANOLA MESO,GLD,40.13,-100.48,KKRFMESO,0,0,36,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,36,4
NEM079,TB,2023-11-02 15:00:00,DICKENS MESO,LBF,40.83,-100.98,KKRFMESO,0,0,34,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,34,4
NEM080,TB,2023-11-02 15:00:00,KEYSTONE MESO,LBF,41.2,-101.65,KKRFMESO,0,0,35,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,35,4
NEM081,TB,2023-11-02 15:00:00,PEIRCE MESO,GID,42.17,-97.55,KKRFMESO,0,0,36,0,0,0,0,0,0,0,0,2023/10/30-2023/11/02,36,4
NISS2,TB,2023-11-02 13:00:00,NISLAND,UNR,44.6783,-103.5606,KKRFEDIT,0,34,37,0,40,0,46,0,53,0,0,2023/10/30-2023/11/02,34,2
NOMS2,TB,2023-11-02 13:00:00,NORRIS,RIW,43.6,-101.1,KKRFEDIT,0,35,38,0,42,0,48,0,55,0,0,2023/10/30-2023/11/02,35,2
