"station","lat","lon","elev","depth","t.lm","t.rf","t.rflm"
"USC00201492",45.6522,-84.4725,177.4,0,7.12305575218198,6.84353677923134,6.82292471046448
"USC00201492",45.6522,-84.4725,177.4,10,9.47693824062946,8.97859293093057,9.32617591434511
"USC00201492",45.6522,-84.4725,177.4,50,9.24553941213971,8.91335101048103,9.09825817667816
"USC00201896",45.6414,-85.0142,219.8,0,6.91582572034917,6.91882049047775,6.8086468441136
"USC00201896",45.6414,-85.0142,219.8,10,9.26970820879665,9.00828545849745,9.22955114274609
"USC00201896",45.6414,-85.0142,219.8,50,9.0383093803069,8.91864434958836,8.97435106693581
"USC00202015",42.3192,-83.2383,184.4,0,9.9899894467195,10.3235606924546,10.2672442787061
"USC00202015",42.3192,-83.2383,184.4,10,12.343871935167,11.9181525273418,12.5566558244839
"USC00202015",42.3192,-83.2383,184.4,50,12.1124731066772,11.780913384382,12.3186173080046
"USC00202381",45.1517,-85.1325,178.9,0,7.64735050071288,7.81275311747922,7.84906743812644
"USC00202381",45.1517,-85.1325,178.9,10,10.0012329891604,9.46869948243362,10.2297252072259
"USC00202381",45.1517,-85.1325,178.9,50,9.76983416067062,9.37259771859127,10.0001690199915
"USC00202423",44.2839,-83.5036,178.6,0,8.25814429118704,7.76851307661945,7.79231094085123
"USC00202423",44.2839,-83.5036,178.6,10,10.6120267796345,9.72671175062874,10.1275852088095
"USC00202423",44.2839,-83.5036,178.6,50,10.3806279511448,9.62069775072309,9.90811183199891
"USC00202437",42.5181,-84.6522,265.2,0,9.43762323113837,9.45243077331465,9.37458274818538
"USC00202437",42.5181,-84.6522,265.2,10,11.7915057195859,11.3508694198033,11.7411214354732
"USC00202437",42.5181,-84.6522,265.2,50,11.5601068910961,11.1702014327614,11.545180994442
"USC00202984",44.6483,-86.2097,289,0,7.50713814656177,8.32531372325526,8.39341902674564
"USC00202984",44.6483,-86.2097,289,10,9.86102063500925,10.0596685649543,10.6610527747116
"USC00202984",44.6483,-86.2097,289,50,9.62962180651951,9.73451026682429,10.4159370357448
"USC00203096",45.0333,-84.7114,401.7,0,6.24098076913408,6.25074905045052,5.98755410980999
"USC00203096",45.0333,-84.7114,401.7,10,8.59486325758156,8.40941482237936,8.67802554412849
"USC00203096",45.0333,-84.7114,401.7,50,8.36346442909181,8.22115832925403,8.44506468364292
"USC00203391",44.6547,-84.6997,346.6,0,6.9492982814668,6.44972949542434,6.44601764247885
"USC00203391",44.6547,-84.6997,346.6,10,9.30318076991428,8.89448550423917,9.07774325906004
"USC00203391",44.6547,-84.6997,346.6,50,9.07178194142453,8.46708629357712,8.86300858119596
"USC00203429",43.2025,-85.2422,270.7,0,8.84177262936535,8.78963281407428,8.73402282463321
"USC00203429",43.2025,-85.2422,270.7,10,11.1956551178128,10.8282427957932,11.2117215841607
"USC00203429",43.2025,-85.2422,270.7,50,10.9642562893231,10.5648049162384,11.0381452564012
"USC00203504",42.3942,-85.385,281.9,0,9.52508446850683,10.2836017629855,10.5330176364845
"USC00203504",42.3942,-85.385,281.9,10,11.8789669569543,11.7210884812587,12.6690318728119
"USC00203504",42.3942,-85.385,281.9,50,11.6475681284646,11.5281147884208,12.4344534732339
"USC00203529",44.4633,-83.7217,221.9,0,7.83366525504377,7.41696482889746,7.40850471052069
"USC00203529",44.4633,-83.7217,221.9,10,10.1875477434913,9.71321637741271,9.81739757838131
"USC00203529",44.4633,-83.7217,221.9,50,9.95614891500151,9.56316661486426,9.60213063577798
"USC00203632",43.675,-86.4228,236.2,0,8.77100341324554,8.52125399671415,8.52285937125222
"USC00203632",43.675,-86.4228,236.2,10,11.124885901693,10.5889187132692,11.0796044812015
"USC00203632",43.675,-86.4228,236.2,50,10.8934870732033,10.4986182844566,10.8677440942578
"USC00203661",42.6419,-85.2881,250.2,0,9.4956907318081,9.2017154477247,9.09435381910255
"USC00203661",42.6419,-85.2881,250.2,10,11.8495732202556,11.2977773982534,11.6694112267328
"USC00203661",42.6419,-85.2881,250.2,50,11.6181743917658,11.0188653246934,11.4831806604883
"USC00203932",44.3119,-84.8922,345.9,0,7.29006576591454,6.84605320697468,6.86402842675124
"USC00203932",44.3119,-84.8922,345.9,10,9.64394825436203,8.90039505167598,9.12411405638368
"USC00203932",44.3119,-84.8922,345.9,50,9.41254942587228,8.45643948846362,8.99333693537699
"USC00204320",43.2036,-85.7775,247.8,0,9.0527713309807,8.64464206261014,8.42573504418131
"USC00204320",43.2036,-85.7775,247.8,10,11.4066538194282,10.9165836068428,11.1543737032857
"USC00204320",43.2036,-85.7775,247.8,50,11.1752549909384,10.726196658275,11.0188845241838
"USC00204502",44.3089,-85.205,374.9,0,7.13770512503179,6.82536085117354,6.7940923606956
"USC00204502",44.3089,-85.205,374.9,10,9.49158761347927,8.61561193422586,9.06204230661951
"USC00204502",44.3089,-85.205,374.9,50,9.26018878498952,8.31049032357393,8.91827343861759
"USC00204655",43.0608,-83.3075,249.9,0,8.88714825194944,9.0015524245585,9.01885174440883
"USC00204655",43.0608,-83.3075,249.9,10,11.2410307403969,10.8800097324573,11.2549229529931
