"station","lat","lon","elev","t2010.rf","t1990.rf","dt.open.rf","dt.forest.rf","t1990","t2010","dt.open","dt.forest","soilopen1990","soilopen2010","soilforest1990","soilforest2010"
"USC00206184",45.4108,-84.2233,227.1,7.18318733124905,6.78446509356992,2.0879990557589,1.49474982652831,6.973999162451,7.53017065129886,NA,NA,9.0619982182099,9.61816970705777,8.46874898897932,9.02492047782718
"USC00206300",43.0161,-84.18,222.5,8.54132130805599,8.27902074474977,1.79793295429322,1.02612259702912,8.44766912860349,8.54350665928579,NA,NA,10.2456020828967,10.341439613579,9.47379172563261,9.5696292563149
"USC00206507",45.3725,-84.9767,182.6,7.21933767926154,6.8295210620978,2.11742662315623,1.55124479629209,7.1018143585963,7.11933068582483,NA,NA,9.21924098175253,9.23675730898106,8.65305915488839,8.67057548211691
"USC00206658",42.6389,-83.2556,271.3,9.29478147088692,8.85671815057446,1.64685248045376,1.02694876084478,9.15104625928356,9.51772949330959,NA,NA,10.7978987397373,11.1645819737633,10.1779950201283,10.5446782541544
"USC00207277",45.6911,-85.5464,204.8,7.23812612021029,6.82354146908338,2.22548971832833,1.56760516626949,6.23704081260324,6.70142587934682,NA,NA,8.46253053093157,8.92691559767515,7.80464597887273,8.26903104561631
"USC00207820",44.0125,-83.8978,187.5,7.59413599199619,7.27729143592135,2.08859608669068,1.18007548723136,7.06067430616652,7.27671698875841,NA,NA,9.1492703928572,9.36531307544909,8.24074979339787,8.45679247598977
"USC00208417",45.1703,-84.4397,275.8,6.78353906360782,6.37328067213796,2.03923760713497,1.43440202550298,5.04100520006564,5.50290798116509,NA,NA,7.08024280720061,7.54214558830006,6.47540722556862,6.93731000666807
"USC00208443",43.3656,-83.5828,192,8.4955636058214,8.25884986674521,1.87111805610896,1.13432855730104,7.87799115048401,8.13353302733087,NA,NA,9.74910920659297,10.0046510834398,9.01231970778505,9.26786158463191
"USC00208800",44.2542,-84.2011,269.7,7.24480245436104,6.90952635882442,1.9867933637073,1.13933860717855,6.73958234064651,6.97433274013272,NA,NA,8.72637570435381,8.96112610384001,7.87892094782507,8.11367134731127
"USW00014814",45.0606,-83.4281,179.8,7.48731914669079,7.09643296076486,2.12631803572984,1.44774241915433,6.71522754717277,7.08790208045173,NA,NA,8.84154558290261,9.21422011618157,8.1629699663271,8.53564449960606
"USW00014817",44.2656,-85.3967,394.7,6.83929466908495,6.51540356879285,2.18412810218616,1.23278336893955,5.92791103870329,6.52906283799128,NA,NA,8.11203914088945,8.71319094017744,7.16069440764284,7.76184620693083
"USW00014822",42.4072,-83.0089,189.9,9.61899674668617,9.24148756921866,1.88472635694888,1.15453006246635,10.1533749386383,10.5449242005668,NA,NA,12.0381012955872,12.4296505575157,11.3079050011046,11.6994542630331
"USW00014826",42.9669,-83.75,234.7,8.66677664586178,8.38376708180331,1.84129674660713,1.15067812029907,8.40872501597152,8.82931915670348,NA,NA,10.2500217625787,10.6706159033106,9.55940313627059,9.97999727700254
"USW00014828",43.9758,-84.4908,236.2,7.66480467216956,7.35983097620765,2.01823290819357,1.11720694212747,7.37095259206241,7.66664462135397,NA,NA,9.38918550025598,9.68487752954754,8.48815953418988,8.78385156348143
"USW00014833",42.2636,-84.4564,296,8.98617972305014,8.47765489958769,1.66229510595772,0.949010276388952,8.9178680238541,9.14508533509357,NA,NA,10.5801631298118,10.8073804410513,9.86687830024306,10.0940956114825
"USW00014836",42.7761,-84.5997,261.2,8.82808876158354,8.48212777347188,1.67567122976433,0.995652994880366,8.31995071643698,8.67982568221228,NA,NA,9.99562194620131,10.3554969119766,9.31560371131735,9.67547867709265
"USW00014840",43.1711,-86.2369,190.2,8.74017509723283,8.43137248394684,2.13837751221052,1.38979029222708,8.48559368440267,8.91844482978918,NA,NA,10.6239711966132,11.0568223419997,9.87538397662975,10.3082351220163
"USW00014841",45.5644,-84.7928,215.2,6.88398495157154,6.54196276632143,2.12984504664376,1.53649209063694,5.55221933833135,6.13506135713212,NA,NA,7.68206438497512,8.26490640377588,7.0887114289683,7.67155344776906
"USW00014845",43.5281,-84.0814,201.8,8.34873748762539,8.06926185457418,1.86859142964867,1.05886536052249,8.21686593045542,8.54229716163183,NA,NA,10.0854573601041,10.4108885912805,9.2757312909779,9.60116252215432
"USW00014850",44.7389,-85.5678,185.3,7.58158807607554,7.09675459854198,2.26183802939089,1.37455585356506,7.08378739618056,7.81041371206711,NA,NA,9.34562542557146,10.072251741458,8.45834324974562,9.18496956563216
"USW00014853",42.2367,-83.5264,215.8,9.08313521484594,8.72886170217379,1.87380457191911,1.14586377404929,9.02471737517021,9.34396319778356,NA,NA,10.8985219470893,11.2177677697027,10.1705811492195,10.4898269718328
"USW00094814",44.3592,-84.6739,350.5,6.58390320767324,6.28523305197227,2.14315082920977,1.23792601706233,6.24036367385603,6.75264214657297,NA,NA,8.3835145030658,8.89579297578274,7.47828969091836,7.9905681636353
"USW00094847",42.2311,-83.3311,192,9.36163961562419,9.00683925448835,1.88869018960968,1.15069893848309,9.26867299443278,10.0734005658483,NA,NA,11.1573631840425,11.962090755458,10.4193719329159,11.2240995043314
"USW00094849",45.0717,-83.5644,208.2,7.33114943432733,6.89887963615061,2.15331314114539,1.47555103018832,5.9999178607283,6.57510267408962,NA,NA,8.15323100187369,8.72841581523501,7.47546889091662,8.05065370427794
"USW00094860",42.8939,-85.545,266.7,8.86175921287817,8.46778930295158,1.80979327618159,1.08808422250288,8.62300480113259,9.14377566852241,NA,NA,10.4327980773142,10.953568944704,9.71108902363547,10.2318598910253
"GRR1",44.3602778,-85.6794444,502,6.91617718393574,6.61095417355695,2.16228774640434,1.01020633612477,NA,NA,1.84916448531069,0.43267208339964,8.46011865886763,8.76534166924643,7.04362625695659,7.34884926733538
"GRR2",44.3701389,-85.7571111,286,7.59986316364651,7.12627502312116,2.02928879667585,1.06158209033625,NA,NA,2.04331607930124,1.04296701587898,9.16959110242239,9.64317924294775,8.16924203900014,8.64283017952549
"GRR5",43.68175,-85.5799722,401,7.60151129783488,7.35322676545901,2.09446547615952,1.1168729511443,NA,NA,2.04824117882118,0.983451244994551,9.40146794428019,9.64975247665607,8.33667801045356,8.58496254282943
"GRR6",43.631,-85.7725278,285,8.38942266260406,8.06202841045777,1.85013770451563,0.92933404337284,NA,NA,1.73465382051976,0.570695369917448,9.79668223097753,10.1240764831238,8.63272378037522,8.96011803252151
"aetna",43.5544,-85.9605,285,8.54085863490023,8.12925060707391,1.76646898240134,1.03402107916107,NA,NA,1.40067600981954,0.924094928264489,9.52992661689345,9.94153464471977,9.0533455353384,9.46495356316472
"allegan",42.4866,-85.8122,212,8.89037961068347,8.45671830653523,2.04899914464648,1.28493360669417,NA,NA,2.1966565502092,1.40102659415892,10.6533748567444,11.0870361608927,9.85774490069415,10.2914062048424
"alpine",43.0733,-85.7228,281,8.70406149909112,8.28351897977629,1.769861978137,0.980471452682356,NA,NA,1.7638545010871,1.02674093514105,10.0473734808634,10.4679160001782,9.31025991491734,9.73080243423217
"arlene",44.3966,-85.2935,403,6.79727325680279,6.49593651580934,2.28251153510707,1.34364953982383,NA,NA,2.4408752864958,1.365176411688,8.93681180230515,9.23814854329859,7.86111292749734,8.16244966849078
"belding",43.1125,-85.3122,257,8.69832247562409,8.42992203637968,1.81749917044162,1.13340798825057,NA,NA,1.92503754541601,1.2630615948841,10.3549595817957,10.6233600210401,9.69298363126378,9.96138407050819
"benona",43.6304,-86.4931,256,8.43713861526027,8.31698399253673,2.10706753851136,1.2917695488738,NA,NA,2.20235742286902,1.44913038957322,10.5193414154057,10.6394960381293,9.76611438210995,9.8862690048335
"benzonia",44.5593,-86.1172,253,7.7871821453361,7.32875006778519,2.38535366699324,1.56693125035462,NA,NA,2.67390287666578,1.76437158104219,10.002652944451,10.4610850220019,9.09312164882738,9.55155372637829
"berriensprings",41.9352,-86.3797,228,9.02768944929092,8.69460961328098,2.05739675980012,1.29355486210974,NA,NA,1.8345937365165,1.15609942356274,10.5292033497975,10.8622831858074,9.85070903684372,10.1837888728537
"cassopolis",41.953,-85.9902,290,9.08699240130035,8.56922993923592,1.78194763903951,1.03329199186965,NA,NA,1.6703636377477,0.925035982887284,10.2395935769836,10.7573560390481,9.49426592212321,10.0120283841876
