"station","lat","lon","elev","depth","t.rf","t.best","t","dt1990.rf","dt2010.rf","predt1990","predt2010"
"berriensprings",41.9352,-86.3797,228,50,12.1729843928994,12.1604546272461,11.7217375366569,-1.3018365760119,-0.998411455901577,10.8586180512342,11.1620431713446
"cassopolis",41.953,-85.9902,290,0,10.3654724436675,10.4938987194176,10.4621389270977,-1.339531393701,-0.924167228424423,9.15436732571658,9.56973149099315
"cassopolis",41.953,-85.9902,290,10,12.860576579006,13.1132601604091,13.1506899724011,-1.339531393701,-0.924167228424423,11.7737287667081,12.1890929319847
"cassopolis",41.953,-85.9902,290,50,12.1598886597022,12.1598886597022,NA,-1.339531393701,-0.924167228424423,10.8203572660012,11.2357214312778
"charlevoix",45.2547,-85.3196,240,0,8.04409248944535,8.04409248944535,NA,-1.02973149962283,-0.613016103671436,7.01436098982253,7.43107638577392
"charlevoix",45.2547,-85.3196,240,10,10.4062394396208,10.4062394396208,NA,-1.02973149962283,-0.613016103671436,9.37650793999801,9.7932233359494
"charlevoix",45.2547,-85.3196,240,50,10.1460038794438,10.1460038794438,NA,-1.02973149962283,-0.613016103671436,9.11627237982098,9.53298777577237
"charlotte",42.6509,-84.916,285,0,9.81482578030245,9.99005315157091,10.072805805114,-1.13400284802741,-0.789189186639278,8.8560503035435,9.20086396493163
"charlotte",42.6509,-84.916,285,10,11.1361700257167,11.2077644702115,11.2377332411887,-1.13400284802741,-0.789189186639278,10.0737616221841,10.4185752835722
"charlotte",42.6509,-84.916,285,50,10.9010572782768,10.9010572782768,NA,-1.13400284802741,-0.789189186639278,9.76705443024935,10.1118680916375
"clarksville",42.8733,-85.2604,273,0,9.42995006986996,9.51172160174097,9.56518415566365,-1.14716220161956,-0.775186245125159,8.36455940012141,8.73653535661581
"clarksville",42.8733,-85.2604,273,10,10.9546345420036,10.5376338697235,12.0485788113695,-1.14716220161956,-0.775186245125159,9.39047166810392,9.76244762459832
"clarksville",42.8733,-85.2604,273,50,10.5636677921426,10.391527683689,11.225,-1.14716220161956,-0.775186245125159,9.24436548206944,9.61634143856385
"conklin",43.1187,-85.8284,250,0,9.56899251916725,9.71065137903504,9.6992117888965,-1.18132265442991,-0.823508913472132,8.52932872460513,8.88714246556291
"conklin",43.1187,-85.8284,250,10,11.5966528282138,11.6510475825769,11.6340082361016,-1.18132265442991,-0.823508913472132,10.469724928147,10.8275386691047
"conklin",43.1187,-85.8284,250,50,11.4301386698619,11.493907285143,11.4879369431117,-1.18132265442991,-0.823508913472132,10.3125846307131,10.6703983716709
"constantine",41.8243,-85.6591,254,0,10.3549398487495,10.4305309486116,10.3755862068966,-1.31188304696496,-0.923425813720441,9.11864790164665,9.50710513489116
"constantine",41.8243,-85.6591,254,10,12.7347551471549,13.1044802830491,12.7407067137809,-1.31188304696496,-0.923425813720441,11.7925972360842,12.1810544693287
"constantine",41.8243,-85.6591,254,50,12.1650096823642,12.1650096823642,NA,-1.31188304696496,-0.923425813720441,10.8531266353993,11.2415838686438
"deerfield",41.8626,-83.7979,208,0,10.3946307385899,10.4007413795123,10.3219571230982,-1.35067611499179,-1.00675788253789,9.05006526452053,9.39398349697443
"deerfield",41.8626,-83.7979,208,10,12.6577113805808,12.7623581645176,12.6869730476849,-1.35067611499179,-1.00675788253789,11.4116820495258,11.7556002819797
"deerfield",41.8626,-83.7979,208,50,12.2234595251448,12.2234595251448,NA,-1.35067611499179,-1.00675788253789,10.872783410153,11.2167016426069
"eastleland",45.0301,-85.6743,257,0,7.88772856741998,7.84077706884065,7.83469178082192,-1.10984834613863,-0.689536589756152,6.73092872270202,7.15124047908449
"eastleland",45.0301,-85.6743,257,10,10.1757419355314,10.1605720665399,10.1546575342466,-1.10984834613863,-0.689536589756152,9.05072372040128,9.47103547678376
"eastleland",45.0301,-85.6743,257,50,9.97284493487852,9.97284493487852,NA,-1.10984834613863,-0.689536589756152,8.86299658873989,9.28330834512237
"eastport",45.1081,-85.3247,228,0,8.14857378236006,8.08782951970571,8.0131288766368,-1.03920931185187,-0.630941424548215,7.04862020785384,7.45688809515749
"eastport",45.1081,-85.3247,228,10,10.5060712880471,10.5808509778442,10.5199380165289,-1.03920931185187,-0.630941424548215,9.54164166599228,9.94990955329594
