"station","lat","lon","elev","t2022","t1990","t2010","dt1990","dt2010","dt1990.rf","dt2010.rf","wts"
"USC00202984",44.6483,-86.2097,289,8.78341381147717,7.30051689153395,8.04597060119917,-1.48289691994322,-0.737443210278004,-1.1855756599912,-0.765677711368512,1
"USC00203096",45.0333,-84.7114,401.7,5.97234846221684,6.37510142147159,6.48165922039295,0.402752959254748,0.509310758176115,-0.869652035850763,-0.525000093232626,1
"USC00203391",44.6547,-84.6997,346.6,6.59734514115571,5.95408960838957,5.88871998894954,-0.643255532766137,-0.70862515220617,-0.991991916790458,-0.698440718219198,1
"USC00203429",43.2025,-85.2422,270.7,8.87139067226923,8.34293431045351,8.50933193392352,-0.528456361815724,-0.362058738345711,-1.05340349668452,-0.743187774848646,1
"USC00203504",42.3942,-85.385,281.9,10.682777681448,9.33765933728261,10.116738375515,-1.34511834416534,-0.566039305932954,-1.20995282811422,-0.774392550047555,1
"USC00203529",44.4633,-83.7217,221.9,7.90260373519235,6.76931223674845,7.17656460493808,-1.13329149844389,-0.726039130254267,-1.10972138349,-0.78558061960669,1
"USC00203632",43.675,-86.4228,236.2,8.91609676339287,8.1972165227285,8.07726279866764,-0.718880240664376,-0.838833964725236,-1.10111472648664,-0.828779151021902,1
"USC00203661",42.6419,-85.2881,250.2,9.3678302532512,8.69320845633293,8.85240213385725,-0.674621796918265,-0.515428119393947,-1.13094149419298,-0.782937268284602,1
"USC00203932",44.3119,-84.8922,345.9,7.26269349861378,6.22724277336154,6.31087555777683,-1.03545072525224,-0.951817940836958,-1.0112340924999,-0.695696636379757,1
"USC00204320",43.2036,-85.7775,247.8,9.26249514643445,8.14024408899151,8.34280356303529,-1.12225105744294,-0.919691583399164,-1.14972226616994,-0.811326994526077,1
"USC00204502",44.3089,-85.205,374.9,6.97654606850694,6.10079657289863,6.33582357129916,-0.875749495608312,-0.640722497207773,-0.990614638131106,-0.645412761240115,1
"USC00204655",43.0608,-83.3075,249.9,9.59099946494321,8.40306584868602,8.5391007496448,-1.18793361625719,-1.05189871529842,-1.17659613034325,-0.870877419834373,1
"USC00204967",44.42,-84.0233,276.8,7.12325297808139,6.02423543227412,6.39768593626332,-1.09901754580728,-0.725567041818072,-1.07953176148229,-0.745005133289453,1
"USC00205065",44.2114,-86.2939,204.2,8.6330891711484,8.22990513030372,8.36744973149609,-0.403184040844675,-0.265639439652302,-1.14956659730097,-0.802000920003896,1
"USC00205097",44.855,-85.8353,243.5,8.52891111311424,7.60364609478442,7.96764717031737,-0.925265018329824,-0.56126394279687,-1.13477055139835,-0.725646953285286,1
"USC00205567",43.4611,-86.4178,198.1,9.1738450607795,8.03841742454837,8.22699044570147,-1.13542763623113,-0.946854615078033,-1.18656771867445,-0.918136232503948,1
"USC00205662",43.5858,-84.7694,242.3,9.58067370719807,8.14608205290576,8.44681044341597,-1.4345916542923,-1.1338632637821,-1.01628904033878,-0.777652264871379,1
