"station","lat","lon","elev","depth","forest","t.rf","t.best","t"
"USC00202381",45.1517,-85.1325,178.9,50,"open",8.71045854790643,8.71045854790643,NA
"USC00202423",44.2839,-83.5036,178.6,0,"open",7.05941096008925,7.00206814646504,7.08297642335015
"USC00202423",44.2839,-83.5036,178.6,10,"forest",8.70214654061158,8.70214654061158,NA
"USC00202423",44.2839,-83.5036,178.6,10,"open",8.92099277939714,8.92099277939714,NA
"USC00202423",44.2839,-83.5036,178.6,50,"forest",8.8710279986186,8.8710279986186,NA
"USC00202423",44.2839,-83.5036,178.6,50,"open",9.11451961215911,9.11451961215911,NA
"USC00202437",42.5181,-84.6522,265.2,0,"open",8.71107025301811,8.71206166075638,14.9851851851852
"USC00202437",42.5181,-84.6522,265.2,10,"forest",10.0508019045028,10.0508019045028,NA
"USC00202437",42.5181,-84.6522,265.2,10,"open",10.2062474225743,10.2062474225743,NA
"USC00202437",42.5181,-84.6522,265.2,50,"forest",10.1211636199737,10.1211636199737,NA
"USC00202437",42.5181,-84.6522,265.2,50,"open",10.2759608725396,10.2759608725396,NA
"USC00202984",44.6483,-86.2097,289,0,"open",7.45076428666878,7.31161183093271,7.13730495701093
"USC00202984",44.6483,-86.2097,289,10,"forest",9.01607488281288,9.01607488281288,NA
"USC00202984",44.6483,-86.2097,289,10,"open",9.38976496330102,9.38976496330102,NA
"USC00202984",44.6483,-86.2097,289,50,"forest",9.07174934041554,9.07174934041554,NA
"USC00202984",44.6483,-86.2097,289,50,"open",9.44805528467839,9.44805528467839,NA
"USC00203096",45.0333,-84.7114,401.7,0,"open",6.24551988200084,6.37627371003596,6.32712056737589
"USC00203096",45.0333,-84.7114,401.7,10,"forest",7.78639291429197,7.78639291429197,NA
"USC00203096",45.0333,-84.7114,401.7,10,"open",7.91162856270293,7.91162856270293,NA
"USC00203096",45.0333,-84.7114,401.7,50,"forest",7.77661842990511,7.77661842990511,NA
"USC00203096",45.0333,-84.7114,401.7,50,"open",7.9343784278928,7.9343784278928,NA
"USC00203391",44.6547,-84.6997,346.6,0,"open",5.92178148129498,5.95349989766484,5.87000927213723
"USC00203391",44.6547,-84.6997,346.6,10,"forest",7.7726829693862,7.7726829693862,NA
"USC00203391",44.6547,-84.6997,346.6,10,"open",8.03055833420384,8.03055833420384,NA
"USC00203391",44.6547,-84.6997,346.6,50,"forest",7.69484468251394,7.69484468251394,NA
"USC00203391",44.6547,-84.6997,346.6,50,"open",7.96814973304703,7.96814973304703,NA
"USC00203429",43.2025,-85.2422,270.7,0,"open",8.29692353512517,8.34296930586487,8.34676403468736
"USC00203429",43.2025,-85.2422,270.7,10,"forest",9.62475708350167,9.62475708350167,NA
"USC00203429",43.2025,-85.2422,270.7,10,"open",9.80646265829255,9.80646265829255,NA
"USC00203429",43.2025,-85.2422,270.7,50,"forest",9.67734251937023,9.67734251937023,NA
"USC00203429",43.2025,-85.2422,270.7,50,"open",9.84907756163151,9.84907756163151,NA
"USC00203504",42.3942,-85.385,281.9,0,"open",9.42590569545043,9.33876289816408,9.32567692449866
"USC00203504",42.3942,-85.385,281.9,10,"forest",10.7999651169367,10.7999651169367,NA
"USC00203504",42.3942,-85.385,281.9,10,"open",10.9391280355996,10.9391280355996,NA
"USC00203504",42.3942,-85.385,281.9,50,"forest",10.7628855410528,10.7628855410528,NA
"USC00203504",42.3942,-85.385,281.9,50,"open",10.9022620226018,10.9022620226018,NA
"USC00203529",44.4633,-83.7217,221.9,0,"open",6.73603328285665,6.76886587384124,6.82043349388662
"USC00203529",44.4633,-83.7217,221.9,10,"forest",8.31013995685896,8.31013995685896,NA
"USC00203529",44.4633,-83.7217,221.9,10,"open",8.4211825561267,8.4211825561267,NA
"USC00203529",44.4633,-83.7217,221.9,50,"forest",8.37145936936686,8.37145936936686,NA
"USC00203529",44.4633,-83.7217,221.9,50,"open",8.50473864811784,8.50473864811784,NA
"USC00203632",43.675,-86.4228,236.2,0,"open",8.10413303468267,8.19807068821267,8.24115101289135
"USC00203632",43.675,-86.4228,236.2,10,"forest",9.64403064658003,9.64403064658003,NA
"USC00203632",43.675,-86.4228,236.2,10,"open",9.94858449143363,9.94858449143363,NA
"USC00203632",43.675,-86.4228,236.2,50,"forest",9.68784048887896,9.68784048887896,NA
"USC00203632",43.675,-86.4228,236.2,50,"open",9.98753556747034,9.98753556747034,NA
"USC00203661",42.6419,-85.2881,250.2,0,"open",8.63453209631966,8.69332638993255,8.69506132989025
"USC00203661",42.6419,-85.2881,250.2,10,"forest",10.2617718029123,10.2617718029123,NA
"USC00203661",42.6419,-85.2881,250.2,10,"open",10.3907479154519,10.3907479154519,NA
"USC00203661",42.6419,-85.2881,250.2,50,"forest",10.1547368903049,10.1547368903049,NA
"USC00203661",42.6419,-85.2881,250.2,50,"open",10.2790253729014,10.2790253729014,NA
"USC00203932",44.3119,-84.8922,345.9,0,"open",6.21929338208995,6.22847289991121,6.16374333079268
"USC00203932",44.3119,-84.8922,345.9,10,"forest",7.81722777957785,7.81722777957785,NA
"USC00203932",44.3119,-84.8922,345.9,10,"open",7.95158071892328,7.95158071892328,NA
"USC00203932",44.3119,-84.8922,345.9,50,"forest",7.80041151672277,7.80041151672277,NA
"USC00203932",44.3119,-84.8922,345.9,50,"open",7.97150217675014,7.97150217675014,NA
"USC00204320",43.2036,-85.7775,247.8,0,"open",8.09945917384728,8.09807897739264,-10.4462962962963
"USC00204320",43.2036,-85.7775,247.8,10,"forest",9.77480012507043,9.77480012507043,NA
"USC00204320",43.2036,-85.7775,247.8,10,"open",9.94473813615094,9.94473813615094,NA
"USC00204320",43.2036,-85.7775,247.8,50,"forest",9.87058784105128,9.87058784105128,NA
"USC00204320",43.2036,-85.7775,247.8,50,"open",10.0411906249971,10.0411906249971,NA
"USC00204502",44.3089,-85.205,374.9,0,"open",6.12442759612706,6.10088900445087,6.06988352745424
"USC00204502",44.3089,-85.205,374.9,10,"forest",7.77056900828975,7.77056900828975,NA
"USC00204502",44.3089,-85.205,374.9,10,"open",7.9836966636865,7.9836966636865,NA
"USC00204502",44.3089,-85.205,374.9,50,"forest",7.71007219991568,7.71007219991568,NA
"USC00204502",44.3089,-85.205,374.9,50,"open",7.97726800405097,7.97726800405097,NA
