"station","lat","lon","elev","t0112","p0112","depth","forest","t.2022","t.2010","t.1990","d2010","d1990","d1990.rf","d2010.rf","d1990.best","d2010.best","t.50","t50.1990","t50.2010"
"USC00208443",43.3656,-83.5828,192,8.35624980926514,831.280029296875,0,"open",8.4,8.1,7.9,-0.253738685542825,-0.50693005731409,-0.7,-0.4,-0.5,-0.3,10.4,9.9,10.2
"USC00208800",44.2542,-84.2011,269.7,6.81083345413208,790.130004882812,0,"open",7.2,7,6.7,-0.235886296863946,-0.471019109327796,-0.7,-0.3,-0.5,-0.2,9,8.6,8.8
"USW00014814",45.0606,-83.4281,179.8,6.86708354949951,763.890014648438,0,"open",7.5,7.1,6.7,-0.442211167349238,-0.814772453499231,-0.8,-0.3,-0.8,-0.4,9.2,8.3,8.7
"USW00014817",44.2656,-85.3967,394.7,6.25041675567627,854.469970703125,0,"open",7.1,6.5,5.9,-0.612843427167128,-1.21515544607986,-0.7,-0.3,-1.2,-0.6,8.6,7.4,8
"USW00014822",42.4072,-83.0089,189.9,10.09375,810.419982910156,0,"open",10.8,10.5,10.2,-0.251242700908843,-0.643027221423473,-0.9,-0.5,-0.6,-0.3,12.1,11.4,11.8
"USW00014826",42.9669,-83.75,234.7,8.60041618347168,803.260009765625,0,"open",9.7,8.8,8.4,-0.842784887104441,-1.26337902783639,-0.8,-0.5,-1.3,-0.8,11,9.7,10.1
"USW00014828",43.9758,-84.4908,236.2,7.76416683197021,815.219970703125,0,"open",8,7.7,7.4,-0.35041155094043,-0.640784683751028,-0.7,-0.4,-0.6,-0.4,10,9.4,9.6
"USW00014833",42.2636,-84.4564,296,8.82083320617676,828.820007324219,0,"open",9.6,9.1,8.9,-0.468241686487561,-0.695591501851068,-0.9,-0.6,-0.7,-0.5,11.2,10.5,10.7
"USW00014836",42.7761,-84.5997,261.2,8.60833263397217,838.950012207031,0,"open",9.7,8.7,8.3,-0.977252414005401,-1.3371273797807,-0.8,-0.5,-1.3,-1,11.1,9.7,10.1
"USW00014840",43.1711,-86.2369,190.2,8.93624973297119,856.7900390625,0,"open",9.9,8.9,8.5,-1.02668996380813,-1.45954110919464,-0.9,-0.6,-1.5,-1,11.3,9.8,10.3
"USW00014841",45.5644,-84.7928,215.2,6.06916666030884,769.390014648438,0,"open",6.3,6.1,5.6,-0.210541429477298,-0.793383448278065,-0.6,-0.2,-0.8,-0.2,8.4,7.6,8.2
"USW00014845",43.5281,-84.0814,201.8,8.56750011444092,806.100036621094,0,"open",9.5,8.5,8.2,-0.927458524973053,-1.25288975614947,-0.8,-0.5,-1.3,-0.9,10.6,9.4,9.7
"USW00014850",44.7389,-85.5678,185.3,7.65000009536743,780.900024414062,0,"open",8.7,7.8,7.1,-0.874842597071564,-1.60151473441632,-0.8,-0.4,-1.6,-0.9,10,8.4,9.1
"USW00014853",42.2367,-83.5264,215.8,9.55416679382324,842.390014648438,0,"open",11.2,9.4,9.1,-1.83682758710326,-2.14032785882035,-1.1,-0.7,-2.1,-1.8,12.1,9.9,10.2
"USW00094814",44.3592,-84.6739,350.5,6.28833341598511,766.589965820312,0,"open",7.2,6.8,6.2,-0.433997248153116,-0.952578370586544,-0.7,-0.4,-1,-0.4,8.6,7.7,8.2
"USW00094847",42.2311,-83.3311,192,9.78874969482422,849.820007324219,0,"open",10.8,10.1,9.3,-0.76193009969507,-1.5666576711106,-1.1,-0.7,-1.6,-0.8,12.1,10.6,11.4
"USW00094849",45.0717,-83.5644,208.2,6.56791687011719,724.059997558594,0,"open",7.2,6.6,6,-0.584469777468928,-1.15965459083025,-0.7,-0.3,-1.2,-0.6,8.9,7.7,8.3
"USW00094860",42.8939,-85.545,266.7,8.80916690826416,942.450012207031,0,"open",10,9.1,8.6,-0.814933261553417,-1.33123790955353,-0.8,-0.5,-1.3,-0.8,11.2,9.8,10.3
"GRR1",44.3602778,-85.6794444,502,5.85333299636841,876.590026855469,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.2,-0.6,-0.2,8.9,8.3,8.6
"GRR2",44.3701389,-85.7571111,286,7.30791664123535,860.390014648438,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,9.9,9.2,9.5
"GRR5",43.68175,-85.5799722,401,6.49291658401489,891.630004882812,NA,NA,NA,NA,NA,NA,NA,-0.6,-0.3,-0.6,-0.3,9.6,9,9.3
"GRR6",43.631,-85.7725278,285,7.45000028610229,892.859985351562,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.3,-0.7,-0.3,10.2,9.6,9.9
"aetna",43.5544,-85.9605,285,7.65333318710327,884.219970703125,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,10.6,9.9,10.2
"allegan",42.4866,-85.8122,212,8.71166706085205,1007.34997558594,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.5,-0.8,-0.5,12.5,11.6,12
"alpine",43.0733,-85.7228,281,8.53625011444092,927.799987792969,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.4,-0.7,-0.4,11.3,10.6,10.8
